id,shape,carat,style,gold,image,image_filename,category
539,emerald,1.8,ring,yellow,https://geer.in/cdn/shop/files/DDLR-257EM_Y1.jpg?v=1751975967,539_DDLR-257EM_Y1.jpg,ring
540,heart,3.13,ring,rose,https://geer.in/cdn/shop/files/DDLR-258HR_R1.jpg?v=1751975967,540_DDLR-258HR_R1.jpg,ring
541,oval,4.73,ring,rose,https://geer.in/cdn/shop/files/DDLR-259OV_R1.jpg?v=1751975968,541_DDLR-259OV_R1.jpg,ring
542,marquise,4.58,ring,white,https://geer.in/cdn/shop/files/DDLR-260MQ_W1.jpg?v=1751975968,542_DDLR-260MQ_W1.jpg,ring
543,oval,4.27,ring,yellow,https://geer.in/cdn/shop/files/DDLR-261OV_Y1.jpg?v=1751975970,543_DDLR-261OV_Y1.jpg,ring
544,round,2.7,ring,yellow,https://geer.in/cdn/shop/files/DDLR-263RD_Y1.jpg?v=1751975969,544_DDLR-263RD_Y1.jpg,ring
545,round,2.66,ring,yellow,https://geer.in/cdn/shop/files/DDLR-267RD_Y1.jpg?v=1751975969,545_DDLR-267RD_Y1.jpg,ring
546,princess,3.25,ring,white,https://geer.in/cdn/shop/files/DDLR-268PR_W1.jpg?v=1751975969,546_DDLR-268PR_W1.jpg,ring
547,oval,3.72,three stone,rose,https://geer.in/cdn/shop/files/DDLR-269OV_R1.jpg?v=1751975970,547_DDLR-269OV_R1.jpg,ring
548,heart,2.3,three stone,rose,https://geer.in/cdn/shop/files/DDLR-270HR_R1.jpg?v=1751975985,548_DDLR-270HR_R1.jpg,ring
549,,1.04,ring,white,https://geer.in/cdn/shop/files/GJLR-056_W1.jpg?v=1750408788,549_GJLR-056_W1.jpg,ring
550,cushion,3.71,ring,white,https://geer.in/cdn/shop/files/DDLR-271CU_W1.jpg?v=1751975985,550_DDLR-271CU_W1.jpg,ring
551,radiant,3.68,ring,rose,https://geer.in/cdn/shop/files/DDLR-218HR_R1.jpg?v=1751975927,551_DDLR-218HR_R1.jpg,ring
552,,2.18,band,rose,https://geer.in/cdn/shop/files/GJLR-023_R1.jpg?v=1750401342,552_GJLR-023_R1.jpg,ring
553,asscher,3.6,eternity,white,https://geer.in/cdn/shop/files/DDLR-219AC_W1.jpg?v=1751975925,553_DDLR-219AC_W1.jpg,ring
554,pear,5.6,eternity,yellow,https://geer.in/cdn/shop/files/DDLR-220PE_Y1.jpg?v=1751975928,554_DDLR-220PE_Y1.jpg,ring
555,oval,4.29,ring,yellow,https://geer.in/cdn/shop/files/DDLR-221OV_Y1.jpg?v=1751975928,555_DDLR-221OV_Y1.jpg,ring
556,radiant,3.6,ring,rose,https://geer.in/cdn/shop/files/DDLR-222RA_R1.jpg?v=1751975928,556_DDLR-222RA_R1.jpg,ring
557,round,2.32,three stone,yellow,https://geer.in/cdn/shop/files/DDLR-272RD_Y1.jpg?v=1751975986,557_DDLR-272RD_Y1.jpg,ring
558,round,3.12,three stone,yellow,https://geer.in/cdn/shop/files/DDLR-273RD_Y1.jpg?v=1751975986,558_DDLR-273RD_Y1.jpg,ring
559,emerald,1.9,halo,yellow,https://geer.in/cdn/shop/files/DDLR-274EM_Y1.jpg?v=1751975986,559_DDLR-274EM_Y1.jpg,ring
560,pear,1.7,halo,rose,https://geer.in/cdn/shop/files/DDLR-275PE_R1.jpg?v=1751975986,560_DDLR-275PE_R1.jpg,ring
561,round,2.66,halo,rose,https://geer.in/cdn/shop/files/DDLR-276RD_R1.jpg?v=1751975986,561_DDLR-276RD_R1.jpg,ring
562,princess,2.36,ring,rose,https://geer.in/cdn/shop/files/DDLR-277PR_R1.jpg?v=1751975987,562_DDLR-277PR_R1.jpg,ring
563,round,2.16,ring,white,https://geer.in/cdn/shop/files/DDLR-278RD_W1.jpg?v=1751975986,563_DDLR-278RD_W1.jpg,ring
564,emerald,2.36,halo,yellow,https://geer.in/cdn/shop/files/DDLR-279EM_Y1.jpg?v=1751975988,564_DDLR-279EM_Y1.jpg,ring
565,pear,2.2,halo,yellow,https://geer.in/cdn/shop/files/DDLR-280PE_Y1.jpg?v=1751975988,565_DDLR-280PE_Y1.jpg,ring
566,emerald,2.79,ring,rose,https://geer.in/cdn/shop/files/DDLR-281EM_R1.jpg?v=1751975988,566_DDLR-281EM_R1.jpg,ring
567,oval,2.8,three stone,rose,https://geer.in/cdn/shop/files/DDLR-282OV_R1.jpg?v=1751975988,567_DDLR-282OV_R1.jpg,ring
568,cushion,2.38,three stone,white,https://geer.in/cdn/shop/files/DDLR-284CU_W1.jpg?v=1751975987,568_DDLR-284CU_W1.jpg,ring
569,radiant,2.8,ring,yellow,https://geer.in/cdn/shop/files/DDLR-286RA_Y1.jpg?v=1751975988,569_DDLR-286RA_Y1.jpg,ring
570,round,3.61,halo,rose,https://geer.in/cdn/shop/files/DDLR-289RD_R1.jpg?v=1751976002,570_DDLR-289RD_R1.jpg,ring
571,cushion,1.66,ring,rose,https://geer.in/cdn/shop/files/DDLR-290CU_R1.jpg?v=1751976003,571_DDLR-290CU_R1.jpg,ring
572,round,1.76,ring,rose,https://geer.in/cdn/shop/files/DDLR-291RD_R1.jpg?v=1751976003,572_DDLR-291RD_R1.jpg,ring
573,emerald,3.06,halo,white,https://geer.in/cdn/shop/files/DDLR-292EM_W1.jpg?v=1751976001,573_DDLR-292EM_W1.jpg,ring
574,round,2.76,halo,yellow,https://geer.in/cdn/shop/files/DDLR-293RD_Y1.jpg?v=1751976003,574_DDLR-293RD_Y1.jpg,ring
575,round,1.65,halo,yellow,https://geer.in/cdn/shop/files/DDLR-294RD_Y1.jpg?v=1751976003,575_DDLR-294RD_Y1.jpg,ring
576,round,2.97,band,yellow,https://geer.in/cdn/shop/files/DDLR-295RD_Y1.jpg?v=1751976003,576_DDLR-295RD_Y1.jpg,ring
577,pear,2.55,halo,rose,https://geer.in/cdn/shop/files/DDLR-296PE_R1.jpg?v=1751976003,577_DDLR-296PE_R1.jpg,ring
578,round,3.63,halo,rose,https://geer.in/cdn/shop/files/DDLR-297RD_R1.jpg?v=1751976004,578_DDLR-297RD_R1.jpg,ring
579,pear,4.35,three stone,yellow,https://geer.in/cdn/shop/files/DDLR-298PE_Y1.jpg?v=1751976004,579_DDLR-298PE_Y1.jpg,ring
580,marquise,2.4,band,yellow,https://geer.in/cdn/shop/files/DDLR-299MQ_Y1.jpg?v=1751976004,580_DDLR-299MQ_Y1.jpg,ring
581,emerald,3.23,ring,yellow,https://geer.in/cdn/shop/files/DDLR-300EM_Y1.jpg?v=1751976004,581_DDLR-300EM_Y1.jpg,ring
582,oval,4.17,vintage,white,https://geer.in/cdn/shop/files/DDLR-301OV_W1.jpg?v=1751976003,582_DDLR-301OV_W1.jpg,ring
583,cushion,3.5,ring,rose,https://geer.in/cdn/shop/files/DDLR-302CU_R1.jpg?v=1751976004,583_DDLR-302CU_R1.jpg,ring
584,emerald,8.65,eternity,rose,https://geer.in/cdn/shop/files/DDLR-305EM_R1.jpg?v=1751976004,584_DDLR-305EM_R1.jpg,ring
585,pear,2.7,eternity,white,https://geer.in/cdn/shop/files/DDLR-306PE_W1.jpg?v=1751976017,585_DDLR-306PE_W1.jpg,ring
586,round,2.49,eternity,yellow,https://geer.in/cdn/shop/files/DDLR-307RD_Y1.jpg?v=1751976020,586_DDLR-307RD_Y1.jpg,ring
587,radiant,7.93,eternity,yellow,https://geer.in/cdn/shop/files/DDLR-308RA_Y1.jpg?v=1751976020,587_DDLR-308RA_Y1.jpg,ring
588,emerald,3.4,ring,rose,https://geer.in/cdn/shop/files/AILR-1415_R1.jpg?v=1751017869,588_AILR-1415_R1.jpg,ring
589,,3.04,eternity,yellow,https://geer.in/cdn/shop/files/DDLR-310RD_Y1.jpg?v=1751976019,589_DDLR-310RD_Y1.jpg,ring
590,pear,6.89,eternity,rose,https://geer.in/cdn/shop/files/DDLR-312PE_R1.jpg?v=1751976021,590_DDLR-312PE_R1.jpg,ring
591,round,1.48,halo,rose,https://geer.in/cdn/shop/files/DDLR-314RD_R1.jpg?v=1751976018,591_DDLR-314RD_R1.jpg,ring
592,round,1.01,eternity,rose,https://geer.in/cdn/shop/files/DDLR-315RD_R1.jpg?v=1751976020,592_DDLR-315RD_R1.jpg,ring
